Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO TATIL,35007378,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DUQUE DE CAXIAS, 1086 CENTRO. 13015-311 Campinas - SP.",(19) 32335311,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.90705584,-47.05126901
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO RDSSWISS,35007422,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA DERMIVAL BERNARDES SIQUEIRA, 2028 SWISS PARK. 13049-252 Campinas - SP.",(19) 31134200,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO POMARES EDUCACAO INFANTIL E ENSINO FUNDAMENTAL I,35007662,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ANA DE NAZARE CAVALEIRA, 386 PARQUE DOS POMARES. 13098-002 Campinas - SP.",(19) 997286657,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL ELIENAI LTDA ME,35007691,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA RANCHARIA, 68 JARDIM DO TREVO. 13040-021 Campinas - SP.",(19) 32387538,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.9337218729993,-47.0662805345348
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SABIS INTERNACIONAL SCHOOL,35007988,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"ESTRADA GIUSEPPINA VIANELLI DI NAPOLLI, 555 POLO II DE ALTA TECNOLOGIA CAMPINAS. 13086-530 Campinas - SP.",,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO OFICINA DO ESTUDANTE UNIDADE PAINEIRAS,35008152,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA JOSE ARAUJO CUNHA, 71 VILA BRANDINA. 13092-553 Campinas - SP.",(19) 37706688,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.9010683333333,-47.0296666666667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA CEZARETTI EDUCACIONAL LTDAME RECANTO ACALANTO,35008210,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ANDIRA, 102 PARQUE UNIVERSITARIO DE VIRACOPOS. 13056-475 Campinas - SP.",(19) 30281960,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL INTERACAO LTDA,35008534,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DOS CRAVOS, 113 CHACARA PRIMAVERA. 13087-470 Campinas - SP.",(19) 32030608,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,P B MARQUES EDUCACAO ESCOLA INFANTIL PEDRO E ROGERIO,35008580,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA SERGIO GUIMARAES FABIANO, 728 CIDADE SATELITE IRIS. 13059-640 Campinas - SP.",(19) 37622535,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ADVENTISTA DE CAMPINAS UNIDADE BARAO GERALDO,35008635,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DOUTOR SERGIO ALMEIDA PRADO, 210 CIDADE UNIVERSITARIA. 13083-750 Campinas - SP.",(19) 29325650,Privada,Confessional,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
