Escola,Código INEP,UF,Município,Localização,Endereço,Telefone,Categoria Escola Privada,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
POLICIA MILITAR DE CAMPINAS COLEGIO DA,35104826,SP,Campinas,Urbana,"SAO LUIS DO PARAITINGA, 1302 RUA. JARDIM DO TREVO. 13030-105 Campinas - SP.",(19) 37729900,Particular,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.9274582,-47.0713643
CASA DA CRIANCA MEIMEI,35112501,SP,Campinas,Urbana,"FRANCISCO JOSE DE CAMARGO ANDRADE, 959 AVENIDA. JARDIM CHAPADAO. 13070-051 Campinas - SP.",(19) 32411622,Filantrópica,Entre 201 e 500 matrículas de escolarização,Educação Infantil,-22.88177,-47.07304
PROGRESSO CAMPINEIRO COLEGIO,35112513,SP,Campinas,Urbana,"JULIO DE MESQUITA, 840 AVENIDA. CAMBUI. 13025-061 Campinas - SP.",(19) 32113803,Particular,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.89837,-47.05591
PIO XII COLEGIO DE APLICACAO,35112537,SP,Campinas,Urbana,"BOAVENTURA DO AMARAL, 354 RUA. CENTRO. 13015-191 Campinas - SP.",(19) 33413183,Filantrópica,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.9099938,-47.0520598
NOTRE DAME DE CAMPINAS COLEGIO,35112562,SP,Campinas,Urbana,"EGBERTO FERREIRA DE ARRUDA CAMARGO, 151 RUA. PARQUE DA HIPICA. 13092-621 Campinas - SP.",(19) 21388300,Filantrópica,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação Profissional",-22.8943708,-47.0044715
SAGRADO CORACAO DE JESUS COLEGIO,35112574,SP,Campinas,Urbana,"MANOEL AFONSO FERREIRA DOUTOR, 245 AVENIDA. JARDIM PARAISO. 13100-029 Campinas - SP.",(19) 37532400,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.9075375,-47.0372861
NOSSA SRA AUXILIADORA COLEGIO SALESIANO,35112586,SP,Campinas,Urbana,"GERALDO DE RESENDE BARONESA, 330 RUA. JARDIM NOSSA SENHORA AUXILIADORA. 13075-270 Campinas - SP.",(19) 37446800,Filantrópica,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.882813,-47.058137
ADVENTISTA DE CAMPINAS COLEGIO,35112641,SP,Campinas,Urbana,"OSCAR LEITE, 55 RUA. PONTE PRETA. 13041-620 Campinas - SP.",(19) 35193800,Filantrópica,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.91455056,-47.05404955
COMUNITARIA DE CAMPINAS ESCOLA,35112689,SP,Campinas,Urbana,"EGBERTO FERREIRA DE ARRUDA CAMARGO, 650 JARDIM NOTRE DAME. 13092-621 Campinas - SP.",(19) 37588500,Particular,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.8914509,-47.0089471
SAO JOSE ESCOLA SALESIANA,35112707,SP,Campinas,Urbana,"PADRE ALMEIDA GARRET, 267 JARDIM NOSSA SENHORA AUXILIADORA. 13075-490 Campinas - SP.",(19) 37443000,Filantrópica,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação Profissional",-22.8736523,-47.0654942
